chip_stem,region,sza_bin,ic_frac
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8704_c1792,KQ,sza_lt65,0.2047576904296875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8704_c2048,KQ,sza_lt65,0.2224884033203125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c0256,KQ,sza_lt65,0.9804229736328125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c0512,KQ,sza_lt65,0.9696197509765625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c1536,KQ,sza_lt65,0.3788604736328125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c1792,KQ,sza_lt65,0.123321533203125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r8960_c2048,KQ,sza_lt65,0.3368988037109375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c0256,KQ,sza_lt65,0.8560943603515625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c0512,KQ,sza_lt65,0.9896240234375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c0768,KQ,sza_lt65,0.986663818359375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1024,KQ,sza_lt65,0.732330322265625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1280,KQ,sza_lt65,0.5890655517578125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1536,KQ,sza_lt65,0.605804443359375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c1792,KQ,sza_lt65,0.2993927001953125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9216_c2048,KQ,sza_lt65,0.1158447265625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c0512,KQ,sza_lt65,0.7469329833984375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c0768,KQ,sza_lt65,0.897918701171875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1024,KQ,sza_lt65,0.7067108154296875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1280,KQ,sza_lt65,0.2696380615234375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1536,KQ,sza_lt65,0.26446533203125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c1792,KQ,sza_lt65,0.1789398193359375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c2048,KQ,sza_lt65,0.124481201171875
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9472_c2304,KQ,sza_lt65,0.2723541259765625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c0768,KQ,sza_lt65,0.462677001953125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1024,KQ,sza_lt65,0.3079833984375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1280,KQ,sza_lt65,0.3858642578125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1536,KQ,sza_lt65,0.33770751953125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c1792,KQ,sza_lt65,0.157135009765625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c2048,KQ,sza_lt65,0.1101226806640625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9728_c2304,KQ,sza_lt65,0.2161712646484375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c1280,KQ,sza_lt65,0.4457855224609375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c1536,KQ,sza_lt65,0.3123321533203125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c1792,KQ,sza_lt65,0.17315673828125
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c2048,KQ,sza_lt65,0.077239990234375
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c2304,KQ,sza_lt65,0.0980377197265625
S2B_MSIL1C_20210907T140729_N0500_R053_T25WES_20230114T011834_r9984_c3072,KQ,sza_lt65,0.3518524169921875
