chip_stem,region,sza_bin,range_p,would_skip_at_0p005,would_skip_at_0p01,would_skip_at_0p02,would_skip_at_0p05
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c3584,KQ,sza_70_75,0.9594827890396118,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r3840_c4608,KQ,sza_70_75,0.8976216316223145,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r5376_c4096,KQ,sza_70_75,0.9993712306022644,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6144_c3840,KQ,sza_70_75,0.9994149804115295,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r6912_c5632,KQ,sza_70_75,0.6473884582519531,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7168_c3072,KQ,sza_70_75,0.9959555268287659,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c4096,KQ,sza_70_75,0.9725680351257324,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r7936_c6912,KQ,sza_70_75,0.20830993354320526,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8448_c2048,KQ,sza_70_75,0.15598148107528687,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8704_c6400,KQ,sza_70_75,0.49565815925598145,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r8960_c5632,KQ,sza_70_75,0.16497983038425446,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9728_c4352,KQ,sza_70_75,0.15450581908226013,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c0768,KQ,sza_70_75,0.7013639807701111,0,0,0,0
S2B_MSIL1C_20211001T134859_N0500_R110_T25WER_20230112T231721_r9984_c2048,KQ,sza_70_75,0.5513623356819153,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WEQ_20230101T103834_r0512_c4096,KQ,sza_gt75,0.9433362483978271,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WEQ_20230101T103834_r0768_c3328,KQ,sza_gt75,0.9979718923568726,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3072_c4096,KQ,sza_gt75,0.9994787573814392,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r3328_c3584,KQ,sza_gt75,0.9995038509368896,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5120_c3584,KQ,sza_gt75,0.9997148513793945,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r5632_c5120,KQ,sza_gt75,0.8115957975387573,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r8448_c1024,KQ,sza_gt75,0.9995903968811035,0,0,0,0
S2B_MSIL1C_20211103T140249_N0500_R010_T25WER_20230101T103834_r9984_c1024,KQ,sza_gt75,0.9976179599761963,0,0,0,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r4608_c7168,SK,sza_70_75,0.9993156790733337,0,0,0,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r5632_c6656,SK,sza_70_75,0.9997029900550842,0,0,0,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5376,SK,sza_70_75,0.9993159174919128,0,0,0,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c5632,SK,sza_70_75,0.9995580315589905,0,0,0,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r6144_c6400,SK,sza_70_75,0.9993273615837097,0,0,0,0
S2B_MSIL1C_20221005T141949_N0510_R096_T24WWU_20240727T202953_r8960_c2560,SK,sza_70_75,0.689845621585846,0,0,0,0
S2B_MSIL1C_20221101T141329_N0510_R053_T24WWT_20240712T091554_r5888_c4352,KQ,sza_gt75,0.16160981357097626,0,0,0,0
