region,sza_bin,chip_stem,ndwi_threshold,band_skipped,cloud_skipped,cloud_fraction,ic_skipped,ic_frac,water_px,iceberg_px,n_polygons,total_area_m2
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c0512,0.1,False,True,0.9551,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,-0.05,False,False,0.0,True,0.7566070556640625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,0.0,False,False,0.0,True,0.7566070556640625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,0.05,False,False,0.0,True,0.7566070556640625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1536,0.1,False,False,0.0,True,0.7566070556640625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,-0.05,False,False,0.0,True,0.9971466064453125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,0.0,False,False,0.0,True,0.9971466064453125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,0.05,False,False,0.0,True,0.9971466064453125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c1792,0.1,False,False,0.0,True,0.9971466064453125,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,-0.05,False,False,0.0,True,0.89068603515625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,0.0,False,False,0.0,True,0.89068603515625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,0.05,False,False,0.0,True,0.89068603515625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r8960_c2048,0.1,False,False,0.0,True,0.89068603515625,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0256,-0.05,False,True,0.6685,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0256,0.0,False,True,0.6685,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0256,0.05,False,True,0.6685,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0256,0.1,False,True,0.6685,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0512,-0.05,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0512,0.0,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0512,0.05,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0512,0.1,False,True,1.0,False,,0,0,0,0.0
KQ,sza_lt65,S2A_MSIL1C_20160901T141952_N0500_R096_T25WES_20230928T053331_r9216_c0768,-0.05,False,True,1.0,False,,0,0,0,0.0
